,Share of 1st Generation,Share of 2nd Generation,Share of 3rd Generation,igen,state,wbhao,wbhao_igen,year
9,0.55055803,0.21898197,0.23046003,All,National,Hispanic,Hispanic All,1994
59,0.63930595,0.15029803,0.21039601,All,California,Hispanic,Hispanic All,1994
55,0.74803233,0.19637692,0.055590738,All,Florida,Hispanic,Hispanic All,1994
53,0.66803688,0.24445701,0.08750610800000001,All,Illinois,Hispanic,Hispanic All,1994
51,0.59532821,0.37889352,0.02577824,All,New Jersey,Hispanic,Hispanic All,1994
49,0.54478586,0.40008014,0.055134028,All,New York,Hispanic,Hispanic All,1994
57,0.35671112,0.20238742,0.44090146,All,Texas,Hispanic,Hispanic All,1994
8,0.036895074,0.058629837000000004,0.90447509,All,National,White,White All,1994
58,0.08706118199999999,0.09070956,0.82222927,All,California,White,White All,1994
54,0.047684085,0.063164465,0.88915145,All,Florida,White,White All,1994
52,0.055614933,0.056931052,0.88745403,All,Illinois,White,White All,1994
50,0.075225376,0.11057641,0.8141982,All,New Jersey,White,White All,1994
48,0.084678188,0.11818786,0.79713398,All,New York,White,White All,1994
56,0.025345769,0.026431402000000003,0.94822282,All,Texas,White,White All,1994
17,0.56058359,0.21406528,0.22535113,All,National,Hispanic,Hispanic All,1995
107,0.69543356,0.14235274,0.16221370000000002,All,California,Hispanic,Hispanic All,1995
103,0.71224904,0.25004861,0.037702362999999996,All,Florida,Hispanic,Hispanic All,1995
101,0.65733272,0.23271075,0.10995654,All,Illinois,Hispanic,Hispanic All,1995
99,0.62564659,0.34496498,0.029388431,All,New Jersey,Hispanic,Hispanic All,1995
97,0.52726978,0.44400805,0.028722177999999998,All,New York,Hispanic,Hispanic All,1995
105,0.35770398,0.20160455,0.44069147,All,Texas,Hispanic,Hispanic All,1995
16,0.036478281,0.055902100999999996,0.9076196,All,National,White,White All,1995
106,0.085175402,0.08505542599999999,0.82976919,All,California,White,White All,1995
102,0.042029555999999996,0.064900279,0.89307016,All,Florida,White,White All,1995
100,0.055571935999999995,0.05780804900000001,0.88662004,All,Illinois,White,White All,1995
98,0.092641771,0.10691229,0.80044591,All,New Jersey,White,White All,1995
96,0.095125258,0.11565637,0.78921837,All,New York,White,White All,1995
104,0.020824773,0.025122302000000003,0.95405293,All,Texas,White,White All,1995
25,0.54904222,0.23334067,0.21761708,All,National,Hispanic,Hispanic All,1996
155,0.68638593,0.13796361,0.17565046,All,California,Hispanic,Hispanic All,1996
151,0.63959193,0.31732243,0.043085653,All,Florida,Hispanic,Hispanic All,1996
149,0.66995901,0.21121901,0.11882199,All,Illinois,Hispanic,Hispanic All,1996
147,0.62161815,0.34054065,0.037841192999999995,All,New Jersey,Hispanic,Hispanic All,1996
145,0.54032475,0.42895621,0.030719027000000003,All,New York,Hispanic,Hispanic All,1996
153,0.38880983,0.19515799,0.4160322,All,Texas,Hispanic,Hispanic All,1996
24,0.037458717999999995,0.056543652,0.90599763,All,National,White,White All,1996
154,0.09332329,0.07552038900000001,0.83115631,All,California,White,White All,1996
150,0.051080678,0.078310475,0.87060887,All,Florida,White,White All,1996
148,0.053786382,0.068603694,0.87760991,All,Illinois,White,White All,1996
146,0.086433105,0.10472114,0.80884576,All,New Jersey,White,White All,1996
144,0.10383305,0.11559845,0.78056848,All,New York,White,White All,1996
152,0.023145676,0.028439892,0.94841444,All,Texas,White,White All,1996
33,0.54609573,0.22704072,0.22686355,All,National,Hispanic,Hispanic All,1997
203,0.65703446,0.15215921,0.19080634,All,California,Hispanic,Hispanic All,1997
199,0.67443693,0.25389299,0.071670085,All,Florida,Hispanic,Hispanic All,1997
197,0.64401531,0.22186309,0.13412161,All,Illinois,Hispanic,Hispanic All,1997
195,0.51190877,0.43106118,0.057030026,All,New Jersey,Hispanic,Hispanic All,1997
193,0.5920406,0.37534276,0.032616671,All,New York,Hispanic,Hispanic All,1997
201,0.37857381,0.20513906,0.41628712,All,Texas,Hispanic,Hispanic All,1997
32,0.039196186,0.05607966,0.90472418,All,National,White,White All,1997
202,0.09289808599999999,0.084092446,0.82300949,All,California,White,White All,1997
198,0.062699258,0.07838387,0.85891688,All,Florida,White,White All,1997
196,0.05715673,0.062917851,0.87992543,All,Illinois,White,White All,1997
194,0.07513357700000001,0.095544443,0.82932198,All,New Jersey,White,White All,1997
192,0.10747987,0.11988094,0.77263916,All,New York,White,White All,1997
200,0.027015831,0.029176202000000002,0.94380796,All,Texas,White,White All,1997
41,0.54558182,0.2134435,0.24097465,All,National,Hispanic,Hispanic All,1998
251,0.6550073000000001,0.14391962,0.20107307,All,California,Hispanic,Hispanic All,1998
247,0.67734838,0.26741087,0.05524075,All,Florida,Hispanic,Hispanic All,1998
245,0.63611591,0.28968307,0.074201033,All,Illinois,Hispanic,Hispanic All,1998
243,0.50289643,0.43692112,0.060182415,All,New Jersey,Hispanic,Hispanic All,1998
241,0.59415841,0.35087508,0.054966497999999996,All,New York,Hispanic,Hispanic All,1998
249,0.37585703,0.17281978,0.45132318,All,Texas,Hispanic,Hispanic All,1998
40,0.040037826,0.055471309,0.90449089,All,National,White,White All,1998
250,0.08554120400000001,0.083283626,0.83117515,All,California,White,White All,1998
246,0.060416795,0.069290824,0.87029237,All,Florida,White,White All,1998
244,0.055835493,0.044419724,0.89974481,All,Illinois,White,White All,1998
242,0.075821891,0.10388745,0.82029068,All,New Jersey,White,White All,1998
240,0.10420579,0.11655307,0.77924114,All,New York,White,White All,1998
248,0.023369797,0.028773697,0.94785649,All,Texas,White,White All,1998
49,0.53264546,0.21793076,0.24942379,All,National,Hispanic,Hispanic All,1999
299,0.65034926,0.15446729999999997,0.19518343,All,California,Hispanic,Hispanic All,1999
295,0.63593841,0.28014731,0.083914295,All,Florida,Hispanic,Hispanic All,1999
293,0.64803594,0.20758991,0.14437413,All,Illinois,Hispanic,Hispanic All,1999
291,0.57386422,0.35241023,0.073725574,All,New Jersey,Hispanic,Hispanic All,1999
289,0.53935504,0.40158302,0.059061925999999994,All,New York,Hispanic,Hispanic All,1999
297,0.36222944,0.16309375,0.47467682,All,Texas,Hispanic,Hispanic All,1999
48,0.039816476,0.051068537000000004,0.90911496,All,National,White,White All,1999
298,0.081211224,0.078829259,0.8399595,All,California,White,White All,1999
294,0.060245175,0.056857143,0.88289768,All,Florida,White,White All,1999
292,0.056166399000000006,0.050678644,0.89315498,All,Illinois,White,White All,1999
290,0.077414177,0.09047372599999999,0.83211207,All,New Jersey,White,White All,1999
288,0.10201496,0.10499119,0.79299384,All,New York,White,White All,1999
296,0.024433623999999998,0.032419897999999996,0.94314647,All,Texas,White,White All,1999
57,0.55822414,0.206081,0.23569486,All,National,Hispanic,Hispanic All,2000
347,0.66515082,0.15556584,0.17928332,All,California,Hispanic,Hispanic All,2000
343,0.65978473,0.28524378,0.054971470999999994,All,Florida,Hispanic,Hispanic All,2000
341,0.67675352,0.16949603,0.15375046,All,Illinois,Hispanic,Hispanic All,2000
339,0.53384042,0.39625448,0.06990514,All,New Jersey,Hispanic,Hispanic All,2000
337,0.56849068,0.3732298,0.058279492,All,New York,Hispanic,Hispanic All,2000
345,0.39842272,0.16431676,0.43726054,All,Texas,Hispanic,Hispanic All,2000
56,0.042435005,0.047909759,0.90965521,All,National,White,White All,2000
346,0.09325467800000001,0.077584565,0.82916075,All,California,White,White All,2000
342,0.066762723,0.052551112999999997,0.88068616,All,Florida,White,White All,2000
340,0.050109629,0.057364337,0.89252603,All,Illinois,White,White All,2000
338,0.080870666,0.08510272199999999,0.83402663,All,New Jersey,White,White All,2000
336,0.11233508,0.099806771,0.78785813,All,New York,White,White All,2000
344,0.025509305,0.02833277,0.94615793,All,Texas,White,White All,2000
65,0.57093781,0.20398104,0.22508116,All,National,Hispanic,Hispanic All,2001
395,0.6338203,0.17346093,0.19271876,All,California,Hispanic,Hispanic All,2001
391,0.64434004,0.26940838,0.086251609,All,Florida,Hispanic,Hispanic All,2001
389,0.70323938,0.18607543,0.11068519,All,Illinois,Hispanic,Hispanic All,2001
387,0.56107867,0.37095037,0.067970954,All,New Jersey,Hispanic,Hispanic All,2001
385,0.5432060999999999,0.38158062,0.075213253,All,New York,Hispanic,Hispanic All,2001
393,0.44928518,0.15654345,0.39417139,All,Texas,Hispanic,Hispanic All,2001
64,0.04757432599999999,0.048896901,0.90352875,All,National,White,White All,2001
394,0.08791130800000001,0.078983843,0.83310485,All,California,White,White All,2001
390,0.081474565,0.047588784,0.87093663,All,Florida,White,White All,2001
388,0.066723563,0.055354223,0.87792224,All,Illinois,White,White All,2001
386,0.089340955,0.083688006,0.82697105,All,New Jersey,White,White All,2001
384,0.11710758,0.1013153,0.78157711,All,New York,White,White All,2001
392,0.03114992,0.030512074,0.93833798,All,Texas,White,White All,2001
73,0.58546627,0.19479883,0.21973489,All,National,Hispanic,Hispanic All,2002
443,0.66026455,0.15883569,0.18089974,All,California,Hispanic,Hispanic All,2002
439,0.67734951,0.26209724,0.060553264,All,Florida,Hispanic,Hispanic All,2002
437,0.64340794,0.25113365,0.10545839,All,Illinois,Hispanic,Hispanic All,2002
435,0.62449884,0.31546658,0.060034547,All,New Jersey,Hispanic,Hispanic All,2002
433,0.60357064,0.33854175,0.05788764,All,New York,Hispanic,Hispanic All,2002
441,0.43368149,0.15536566,0.41095284,All,Texas,Hispanic,Hispanic All,2002
72,0.045179088,0.04941358,0.90540731,All,National,White,White All,2002
442,0.093743145,0.085217327,0.8210395,All,California,White,White All,2002
438,0.074084401,0.056479975999999994,0.86943561,All,Florida,White,White All,2002
436,0.068139531,0.058242809000000006,0.87361765,All,Illinois,White,White All,2002
434,0.10094818,0.081802398,0.81724942,All,New Jersey,White,White All,2002
432,0.12508561,0.094068468,0.78084594,All,New York,White,White All,2002
440,0.036772501,0.029956155,0.93327135,All,Texas,White,White All,2002
81,0.5889230999999999,0.19397517,0.21710172,All,National,Hispanic,Hispanic All,2003
491,0.67512482,0.15221220000000002,0.17266299,All,California,Hispanic,Hispanic All,2003
487,0.63106614,0.26262698,0.10630687,All,Florida,Hispanic,Hispanic All,2003
485,0.66052544,0.23867972,0.10079484,All,Illinois,Hispanic,Hispanic All,2003
483,0.64452058,0.31973878,0.03574061,All,New Jersey,Hispanic,Hispanic All,2003
481,0.60118109,0.32282183,0.075997062,All,New York,Hispanic,Hispanic All,2003
489,0.47195399,0.15572008,0.37232593,All,Texas,Hispanic,Hispanic All,2003
80,0.045803402,0.046838295,0.90735829,All,National,White,White All,2003
490,0.10670488,0.074532069,0.81876308,All,California,White,White All,2003
486,0.077319257,0.060867418,0.86181331,All,Florida,White,White All,2003
484,0.05999368099999999,0.050596684,0.88940966,All,Illinois,White,White All,2003
482,0.094090305,0.081054062,0.82485563,All,New Jersey,White,White All,2003
480,0.11662235,0.09582061300000001,0.78755701,All,New York,White,White All,2003
488,0.03147452,0.028413529,0.94011194,All,Texas,White,White All,2003
89,0.58258516,0.19587599,0.22153884,All,National,Hispanic,Hispanic All,2004
539,0.68284887,0.1463355,0.17081562,All,California,Hispanic,Hispanic All,2004
535,0.63588154,0.27772856,0.08638990699999999,All,Florida,Hispanic,Hispanic All,2004
533,0.64038402,0.24316932,0.11644664,All,Illinois,Hispanic,Hispanic All,2004
531,0.62279922,0.312345,0.064855799,All,New Jersey,Hispanic,Hispanic All,2004
529,0.51414031,0.40846506,0.07739462700000001,All,New York,Hispanic,Hispanic All,2004
537,0.4626976,0.15560257,0.38169983,All,Texas,Hispanic,Hispanic All,2004
88,0.046718836,0.045346327,0.90793484,All,National,White,White All,2004
538,0.10383528,0.073303521,0.82286119,All,California,White,White All,2004
534,0.075210825,0.056176145,0.868613,All,Florida,White,White All,2004
532,0.050668605,0.04469743,0.90463394,All,Illinois,White,White All,2004
530,0.10379935,0.074027702,0.82217294,All,New Jersey,White,White All,2004
528,0.11232334,0.092639871,0.79503679,All,New York,White,White All,2004
536,0.033154152,0.030346097000000002,0.93649977,All,Texas,White,White All,2004
97,0.58306742,0.19974171,0.21719086,All,National,Hispanic,Hispanic All,2005
587,0.67884701,0.14577438,0.17537861,All,California,Hispanic,Hispanic All,2005
583,0.63226277,0.30231375,0.06542353299999999,All,Florida,Hispanic,Hispanic All,2005
581,0.55981302,0.28388917,0.15629779,All,Illinois,Hispanic,Hispanic All,2005
579,0.63276768,0.30907416,0.058158167000000004,All,New Jersey,Hispanic,Hispanic All,2005
577,0.55996644,0.36069021,0.079343341,All,New York,Hispanic,Hispanic All,2005
585,0.46097472,0.15158103,0.38744423,All,Texas,Hispanic,Hispanic All,2005
96,0.046628027999999995,0.045120694,0.90825129,All,National,White,White All,2005
586,0.10791938,0.07681089599999999,0.81526971,All,California,White,White All,2005
582,0.08648188400000001,0.040565882000000004,0.87295222,All,Florida,White,White All,2005
580,0.059504949,0.043222718,0.89727235,All,Illinois,White,White All,2005
578,0.094139725,0.092417203,0.81344306,All,New Jersey,White,White All,2005
576,0.11808933,0.09246859,0.78944206,All,New York,White,White All,2005
584,0.028244682000000004,0.030500377000000002,0.94125491,All,Texas,White,White All,2005
105,0.58982748,0.19625095,0.21392159,All,National,Hispanic,Hispanic All,2006
635,0.65401745,0.16617347,0.17980909,All,California,Hispanic,Hispanic All,2006
631,0.65322977,0.27005959,0.076710671,All,Florida,Hispanic,Hispanic All,2006
629,0.61443508,0.23644698,0.14911792,All,Illinois,Hispanic,Hispanic All,2006
627,0.64969152,0.29569059999999997,0.054617862999999996,All,New Jersey,Hispanic,Hispanic All,2006
625,0.60193747,0.31510925,0.082953304,All,New York,Hispanic,Hispanic All,2006
633,0.45072067,0.15378568,0.39549366,All,Texas,Hispanic,Hispanic All,2006
104,0.046162967,0.04511869,0.90871835,All,National,White,White All,2006
634,0.10697822,0.077675745,0.815346,All,California,White,White All,2006
630,0.082707226,0.05125504400000001,0.86603773,All,Florida,White,White All,2006
628,0.06970568,0.044353116,0.88594121,All,Illinois,White,White All,2006
626,0.082963683,0.089539163,0.82749718,All,New Jersey,White,White All,2006
624,0.10795054,0.08704897,0.80500048,All,New York,White,White All,2006
632,0.032977231,0.031703033,0.93531972,All,Texas,White,White All,2006
113,0.59253168,0.1980668,0.20940149,All,National,Hispanic,Hispanic All,2007
683,0.64236581,0.18593474,0.17169945,All,California,Hispanic,Hispanic All,2007
679,0.69006652,0.25065428,0.05927919999999999,All,Florida,Hispanic,Hispanic All,2007
677,0.59374022,0.27465984,0.13159993,All,Illinois,Hispanic,Hispanic All,2007
675,0.6397512,0.29813245,0.062116362,All,New Jersey,Hispanic,Hispanic All,2007
673,0.59344488,0.29561162,0.11094349,All,New York,Hispanic,Hispanic All,2007
681,0.46508297,0.16686435,0.36805266,All,Texas,Hispanic,Hispanic All,2007
112,0.048833713,0.046807405,0.90435886,All,National,White,White All,2007
682,0.11910552,0.078416944,0.80247754,All,California,White,White All,2007
678,0.088732034,0.058054496,0.85321349,All,Florida,White,White All,2007
676,0.076324269,0.057728857,0.86594689,All,Illinois,White,White All,2007
674,0.11237671,0.07462527599999999,0.812998,All,New Jersey,White,White All,2007
672,0.10444839,0.08494579,0.81060582,All,New York,White,White All,2007
680,0.03705823,0.041834813,0.92110693,All,Texas,White,White All,2007
121,0.57858628,0.20731443,0.21409926,All,National,Hispanic,Hispanic All,2008
731,0.63528121,0.18199813,0.18272068,All,California,Hispanic,Hispanic All,2008
727,0.63847584,0.27954,0.081984155,All,Florida,Hispanic,Hispanic All,2008
725,0.64300358,0.23467918,0.12231727,All,Illinois,Hispanic,Hispanic All,2008
723,0.61983049,0.32981336,0.050356179,All,New Jersey,Hispanic,Hispanic All,2008
721,0.54965901,0.30285051,0.14749047,All,New York,Hispanic,Hispanic All,2008
729,0.45214733,0.18767926,0.36017340000000003,All,Texas,Hispanic,Hispanic All,2008
120,0.047853187,0.046314783,0.90583205,All,National,White,White All,2008
730,0.11006557,0.084446862,0.80548757,All,California,White,White All,2008
726,0.08203496,0.05008718,0.86787784,All,Florida,White,White All,2008
724,0.069451913,0.052508421,0.87803966,All,Illinois,White,White All,2008
722,0.10954688,0.093633495,0.79681963,All,New Jersey,White,White All,2008
720,0.11230326,0.089593202,0.79810351,All,New York,White,White All,2008
728,0.038511246,0.043357655,0.91813111,All,Texas,White,White All,2008
129,0.57012939,0.21200645,0.21786417,All,National,Hispanic,Hispanic All,2009
779,0.62184525,0.18293372,0.19522104,All,California,Hispanic,Hispanic All,2009
775,0.65017718,0.26854277,0.081280045,All,Florida,Hispanic,Hispanic All,2009
773,0.64870495,0.24367882,0.10761624,All,Illinois,Hispanic,Hispanic All,2009
771,0.60003066,0.33351415,0.066455215,All,New Jersey,Hispanic,Hispanic All,2009
769,0.5920347,0.32164440000000005,0.086320922,All,New York,Hispanic,Hispanic All,2009
777,0.44613576,0.19369160000000002,0.36017263,All,Texas,Hispanic,Hispanic All,2009
128,0.04778625400000001,0.046546511,0.90566725,All,National,White,White All,2009
778,0.10471632,0.08862748,0.80665618,All,California,White,White All,2009
774,0.076532155,0.054327078,0.86914074,All,Florida,White,White All,2009
772,0.07186012,0.045193549000000006,0.88294631,All,Illinois,White,White All,2009
770,0.095855065,0.095495939,0.808649,All,New Jersey,White,White All,2009
768,0.10976849999999999,0.089419045,0.80081248,All,New York,White,White All,2009
776,0.033407226,0.035203293,0.93138945,All,Texas,White,White All,2009
137,0.56955796,0.21741678,0.21302526,All,National,Hispanic,Hispanic All,2010
827,0.64362097,0.18820079999999997,0.16817823,All,California,Hispanic,Hispanic All,2010
823,0.62995327,0.28988698,0.080159783,All,Florida,Hispanic,Hispanic All,2010
821,0.58427083,0.28843668,0.12729247,All,Illinois,Hispanic,Hispanic All,2010
819,0.62394416,0.2958402,0.08021564,All,New Jersey,Hispanic,Hispanic All,2010
817,0.60705781,0.31210497,0.080837235,All,New York,Hispanic,Hispanic All,2010
825,0.41900298,0.19838004,0.38261697,All,Texas,Hispanic,Hispanic All,2010
136,0.048881340999999995,0.047719389,0.90339929,All,National,White,White All,2010
826,0.11362915,0.09313336800000001,0.79323751,All,California,White,White All,2010
822,0.077113986,0.061521850999999995,0.86136419,All,Florida,White,White All,2010
820,0.074241087,0.046730928,0.87902796,All,Illinois,White,White All,2010
818,0.092894003,0.09347321800000001,0.81363279,All,New Jersey,White,White All,2010
816,0.10104115,0.08744280800000001,0.81151605,All,New York,White,White All,2010
824,0.046685542999999996,0.040170904,0.91314358,All,Texas,White,White All,2010
145,0.55875951,0.22473715,0.21650334,All,National,Hispanic,Hispanic All,2011
875,0.61307323,0.20431364,0.18261312,All,California,Hispanic,Hispanic All,2011
871,0.60638648,0.31311843,0.080495067,All,Florida,Hispanic,Hispanic All,2011
869,0.61816132,0.24193884,0.13989983,All,Illinois,Hispanic,Hispanic All,2011
867,0.64781165,0.264074,0.08811437300000001,All,New Jersey,Hispanic,Hispanic All,2011
865,0.50958425,0.38112548,0.10929026,All,New York,Hispanic,Hispanic All,2011
873,0.44336450000000005,0.19999021,0.35664529,All,Texas,Hispanic,Hispanic All,2011
144,0.04891187,0.047260072,0.90382808,All,National,White,White All,2011
874,0.10745565,0.08802951099999999,0.80451483,All,California,White,White All,2011
870,0.07502947,0.056477967999999996,0.86849254,All,Florida,White,White All,2011
868,0.066453055,0.046789005,0.88675797,All,Illinois,White,White All,2011
866,0.10256138,0.088888429,0.80855018,All,New Jersey,White,White All,2011
864,0.10572655,0.08878079800000001,0.80549264,All,New York,White,White All,2011
872,0.031250104,0.043117567999999995,0.9256323000000001,All,Texas,White,White All,2011
153,0.54644406,0.23370561,0.21985032,All,National,Hispanic,Hispanic All,2012
923,0.55668116,0.24199824,0.20132060000000002,All,California,Hispanic,Hispanic All,2012
919,0.62265497,0.27977443,0.09757056800000001,All,Florida,Hispanic,Hispanic All,2012
917,0.66121191,0.20305982,0.13572824,All,Illinois,Hispanic,Hispanic All,2012
915,0.6583631,0.26624393,0.07539298400000001,All,New Jersey,Hispanic,Hispanic All,2012
913,0.50183606,0.37411284,0.12405112,All,New York,Hispanic,Hispanic All,2012
921,0.46124184,0.20522745,0.33353069,All,Texas,Hispanic,Hispanic All,2012
152,0.051482212,0.043567537999999996,0.90495026,All,National,White,White All,2012
922,0.11644109,0.07670588,0.80685306,All,California,White,White All,2012
918,0.085369051,0.060611024000000006,0.85401994,All,Florida,White,White All,2012
916,0.066701733,0.038271058,0.89502722,All,Illinois,White,White All,2012
914,0.11712950000000001,0.082123481,0.80074704,All,New Jersey,White,White All,2012
912,0.10141651,0.075665839,0.82291764,All,New York,White,White All,2012
920,0.041861419,0.043917625999999994,0.91422093,All,Texas,White,White All,2012
161,0.54417193,0.23477723,0.22105084,All,National,Hispanic,Hispanic All,2013
971,0.55163229,0.23693192,0.21143577,All,California,Hispanic,Hispanic All,2013
967,0.5584324,0.33361924,0.10794835,All,Florida,Hispanic,Hispanic All,2013
965,0.67520297,0.19221993,0.13257711,All,Illinois,Hispanic,Hispanic All,2013
963,0.60157698,0.33654818,0.061874855,All,New Jersey,Hispanic,Hispanic All,2013
961,0.52416897,0.33903393,0.13679713,All,New York,Hispanic,Hispanic All,2013
969,0.45553255,0.19428846,0.35017899,All,Texas,Hispanic,Hispanic All,2013
160,0.049087781,0.045077535999999994,0.90583467,All,National,White,White All,2013
970,0.10616738,0.08695253,0.80688006,All,California,White,White All,2013
966,0.1062298,0.063069381,0.83070081,All,Florida,White,White All,2013
964,0.071052641,0.046609767,0.88233757,All,Illinois,White,White All,2013
962,0.10110813,0.08691033,0.81198156,All,New Jersey,White,White All,2013
960,0.10550539999999999,0.090141304,0.8043533,All,New York,White,White All,2013
968,0.057755161,0.033258982,0.90898585,All,Texas,White,White All,2013
169,0.53300017,0.24168108,0.22531877,All,National,Hispanic,Hispanic All,2014
1019,0.55187476,0.26031458,0.18781063,All,California,Hispanic,Hispanic All,2014
1015,0.59531641,0.35012463,0.054558985,All,Florida,Hispanic,Hispanic All,2014
1013,0.58587599,0.29391927,0.12020473,All,Illinois,Hispanic,Hispanic All,2014
1011,0.54937035,0.35326168,0.097367994,All,New Jersey,Hispanic,Hispanic All,2014
1009,0.57195741,0.28116834,0.14687425,All,New York,Hispanic,Hispanic All,2014
1017,0.45215574,0.19057204,0.35727221,All,Texas,Hispanic,Hispanic All,2014
168,0.050737634000000004,0.045672014000000004,0.90359038,All,National,White,White All,2014
1018,0.10766856,0.086089507,0.80624193,All,California,White,White All,2014
1014,0.10314147,0.056338832,0.84051973,All,Florida,White,White All,2014
1012,0.071428649,0.055532190999999995,0.87303919,All,Illinois,White,White All,2014
1010,0.091155544,0.089403905,0.81944054,All,New Jersey,White,White All,2014
1008,0.080780916,0.08938124,0.82983786,All,New York,White,White All,2014
1016,0.060535882,0.040281698,0.89918244,All,Texas,White,White All,2014
177,0.54785031,0.24420340000000001,0.20794629999999997,All,National,Hispanic,Hispanic All,2015
1067,0.54984432,0.25880727,0.19134842,All,California,Hispanic,Hispanic All,2015
1063,0.60025144,0.32442552,0.07532303,All,Florida,Hispanic,Hispanic All,2015
1061,0.616045,0.23765863,0.14629638,All,Illinois,Hispanic,Hispanic All,2015
1059,0.61638069,0.28728396,0.096335337,All,New Jersey,Hispanic,Hispanic All,2015
1057,0.53389186,0.32927716,0.13683097,All,New York,Hispanic,Hispanic All,2015
1065,0.49635205,0.20129341,0.30235454,All,Texas,Hispanic,Hispanic All,2015
176,0.048892400999999995,0.044297729,0.90680987,All,National,White,White All,2015
1066,0.11993306,0.078079611,0.80198735,All,California,White,White All,2015
1062,0.073261134,0.038293544,0.88844532,All,Florida,White,White All,2015
1060,0.080577716,0.064119585,0.85530269,All,Illinois,White,White All,2015
1058,0.09246397,0.10703689999999999,0.80049914,All,New Jersey,White,White All,2015
1056,0.10954823,0.10698035,0.78347141,All,New York,White,White All,2015
1064,0.039647155,0.029301632,0.93105119,All,Texas,White,White All,2015
1,0.53028184,0.25701901,0.21269915,All,National,Hispanic,Hispanic All,2016
11,0.52506787,0.28013495,0.19479720000000003,All,California,Hispanic,Hispanic All,2016
7,0.59082216,0.30764669,0.10153113,All,Florida,Hispanic,Hispanic All,2016
5,0.53453672,0.27295995,0.19250333,All,Illinois,Hispanic,Hispanic All,2016
3,0.58613276,0.31204975,0.10181748,All,New Jersey,Hispanic,Hispanic All,2016
1,0.49450496,0.38381302,0.121682,All,New York,Hispanic,Hispanic All,2016
9,0.49247634,0.19494899,0.31257465,All,Texas,Hispanic,Hispanic All,2016
0,0.048190363,0.045598105,0.90621156,All,National,White,White All,2016
10,0.09034811,0.07565327,0.83399862,All,California,White,White All,2016
6,0.07440359099999999,0.040889692000000005,0.88470674,All,Florida,White,White All,2016
4,0.082348838,0.05699180400000001,0.86065936,All,Illinois,White,White All,2016
2,0.10689101,0.11170753,0.78140146,All,New Jersey,White,White All,2016
0,0.11784948,0.10048773,0.78166276,All,New York,White,White All,2016
8,0.046555877,0.034751564,0.91869259,All,Texas,White,White All,2016
